"questionText","trlLevel","technologyType","category","TrlQuestions (Item)","ID","Created Date","Updated Date","Owner","toolTip"
"Device performance tested in multiple locations",6,"Agri-Aqua Device and Diagnostic Kits","Technology Status","/trlquestions/agri-aqua-device-and-diagnostic-kits","72601b43-6839-41b5-a126-f00f635c0405",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Identified Potential industry Partner for Industry Testing",4,"New Plant Variety (Conventional)","Industry Adoption Status","/trlquestions/new-plant-variety-(conventional)","7279f5b4-4250-48a7-bd12-150ae2e56f43",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Passed Toxicity Evaluation",4,"Animal Feed, Feed Ingredients and Animal Nutrition","Technology Status","/trlquestions/animal-feed%2C-feed-ingredients-and-animal-nutrition","72a0a507-4af1-442e-9997-24f96eca3369",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Genetic Profiling Validated",3,"Animal Biotechnology","Technology Status","/trlquestions/animal-biotechnology","73b192d0-825c-4771-9408-73fd91329e26",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Freedom to Operate (FTO) Report Prepared",5,"New Plant Variety (Gene-Edited and GM)","Market and Commercialization Status","/trlquestions/new-plant-variety-(gene-edited-and-gm)","73d37684-3e21-4b2e-81da-86ca803a24fb",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Secure Letter of Intent for Licensing",7,"New Animal Breed (Aquatic and Terrestrial)","Industry Adoption Status","/trlquestions/new-animal-breed-(aquatic-and-terrestrial)","746a22b5-6b7f-477c-9390-93de7318fd7a",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Industry feedback collected",6,"New Plant Variety (Gene-Edited and GM)","Industry Adoption Status","/trlquestions/new-plant-variety-(gene-edited-and-gm)","75c33823-1d8d-4ab4-a8e1-d38da9f399c1",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Proximate analysis confirms nutritional adequacy",4,"Animal Feed, Feed Ingredients and Animal Nutrition","Technology Status","/trlquestions/animal-feed%2C-feed-ingredients-and-animal-nutrition","76688ac9-ef6c-47c4-b201-375dc9e38f65",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Preparing Requirements for Agricultural Machinery Testing and Evaluation Center (AMTEC) Certification",6,"Agri-Aqua Machinery and Facility","Regulatory Compliance Status","/trlquestions/agri-aqua-machinery-and-facility","76aba804-8722-4b5b-af43-f186a424de82",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"IP Valuation Report Prepared",6,"Fertilizer and Pesticide (including Organic and Bio-based Products)","Market and Commercialization Status","/trlquestions/fertilizer-and-pesticide-(including-organic-and-bio-based-products)","76c782ca-267b-4fe2-b4bf-8146f61841f5",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Concept development completed or Prior Art Search Conducted",1,"Fertilizer and Pesticide (including Organic and Bio-based Products)","Technology Status","/trlquestions/fertilizer-and-pesticide-(including-organic-and-bio-based-products)","772c743f-a572-4301-bb42-df34dd3eff51",2026-02-03T08:26:38Z,2026-02-05T12:44:47Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Proof of Potential Economic Viability",3,"New Plant Variety (Gene-Edited and GM)","Market and Commercialization Status","/trlquestions/new-plant-variety-(gene-edited-and-gm)","788b3c51-ad75-4a70-9ada-daa35109766f",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Identified Potential industry Partner for Industry Testing",4,"Animal Feed, Feed Ingredients and Animal Nutrition","Industry Adoption Status","/trlquestions/animal-feed%2C-feed-ingredients-and-animal-nutrition","78cf3b96-8710-427b-9db8-99d105dd17a2",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Fairness Opinion Review requested",8,"Food, Food Ingredients and Beverages","Market and Commercialization Status","/trlquestions/food%2C-food-ingredients-and-beverages","79013204-db8b-46f6-ae78-3345762fc82a",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Business Plan crafted",7,"Agri-Aqua Device and Diagnostic Kits","Market and Commercialization Status","/trlquestions/agri-aqua-device-and-diagnostic-kits","7ab7d6a0-413e-4271-b21b-80ea8a678aac",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Product tested for scaled-up pilot production",6,"Food, Food Ingredients and Beverages","Technology Status","/trlquestions/food%2C-food-ingredients-and-beverages","7b59f842-b2dc-4065-9703-9d73ee6cb1cb",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Secure Letter of Intent for Licensing",7,"Food, Food Ingredients and Beverages","Industry Adoption Status","/trlquestions/food%2C-food-ingredients-and-beverages","7c15ba27-c334-4642-9c01-6fc6dd273c97",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Initial cost and raw material availability assessed",5,"Natural Resource & Derived Materials","Market and Commercialization Status","/trlquestions/natural-resource-%26-derived-materials","7c723480-1537-43a9-95ae-a5e96c92f862",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Fairness Opinion Review requested",8,"New Plant Variety (Gene-Edited and GM)","Market and Commercialization Status","/trlquestions/new-plant-variety-(gene-edited-and-gm)","7d561261-323e-4d71-845c-c467ff150d6a",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Submitted for Distinctness, Uniformity, Stability, (DUS) testing (if Plant Variety Protection-eligible)",7,"New Plant Variety (Gene-Edited and GM)","Regulatory Compliance Status","/trlquestions/new-plant-variety-(gene-edited-and-gm)","7f2fea43-4a74-4ade-9867-788525e00e50",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Agreements with industry partners for product testing secured",6,"Agri-Aqua Machinery and Facility","Industry Adoption Status","/trlquestions/agri-aqua-machinery-and-facility","80b32648-97f8-4ea4-969d-f464dbd42abd",2026-02-03T08:26:38Z,2026-02-05T12:44:04Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Processing of Requirements for Bureau of Animal Industry (BAI) or Bureau of Fisheries and Aquatic Resources (BFAR) or third-party Validation",7,"Agri-Aqua Device and Diagnostic Kits","Regulatory Compliance Status","/trlquestions/agri-aqua-device-and-diagnostic-kits","819ce5b9-25c6-4f0b-95bc-a1645e08bafb",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Target traits confirmed in progeny (growth, disease resistance, environmental tolerance)",4,"New Animal Breed (Aquatic and Terrestrial)","Technology Status","/trlquestions/new-animal-breed-(aquatic-and-terrestrial)","82031aa2-e362-4122-b145-bfe6787db618",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Technology Licensing Terms Undergoing Negotiation",7,"New Plant Variety (Conventional)","Industry Adoption Status","/trlquestions/new-plant-variety-(conventional)","82b9c427-a1c9-4f9e-b742-5796217c113a",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Product promotion Conducted",5,"Agri-Aqua Machinery and Facility","Market and Commercialization Status","/trlquestions/agri-aqua-machinery-and-facility","83e2cb1e-4c2c-477e-896a-05b0a3e00f11",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Technology Licensing Terms Negotiated",8,"New Plant Variety (Conventional)","Industry Adoption Status","/trlquestions/new-plant-variety-(conventional)","83ff3763-b851-42e8-9459-406278197210",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Early-stage feedback from potential seed users",4,"New Plant Variety (Conventional)","Market and Commercialization Status","/trlquestions/new-plant-variety-(conventional)","841cf7d6-344a-47fe-bd10-c49fd3c16706",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Regulatory preparation for breed registration or approval initiated",6,"New Animal Breed (Aquatic and Terrestrial)","Regulatory Compliance Status","/trlquestions/new-animal-breed-(aquatic-and-terrestrial)","84269de7-d61d-41de-add6-4e73b1c97d1a",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Submitted for applicable standards assessment",7,"Natural Resource & Derived Materials","Regulatory Compliance Status","/trlquestions/natural-resource-%26-derived-materials","8461f21a-bf64-41c5-b9c1-b24ddaebc9c1",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"BAI/BFAR/Third-party Validated",8,"Agri-Aqua Device and Diagnostic Kits","Regulatory Compliance Status","/trlquestions/agri-aqua-device-and-diagnostic-kits","853d670f-b3a9-4b03-a61a-2ea730ccb008",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Fairness Opinion Review requested",8,"New Animal Breed (Aquatic and Terrestrial)","Market and Commercialization Status","/trlquestions/new-animal-breed-(aquatic-and-terrestrial)","85b7b8e7-d1fd-4db4-960f-cb363bd0ce52",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Accomplished Initial Business Model Canvas (BMC)",5,"New Animal Breed (Aquatic and Terrestrial)","Market and Commercialization Status","/trlquestions/new-animal-breed-(aquatic-and-terrestrial)","8621653c-c6b8-4274-ad5e-4514e0846b3a",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Business Plan crafted",7,"Animal Feed, Feed Ingredients and Animal Nutrition","Market and Commercialization Status","/trlquestions/animal-feed%2C-feed-ingredients-and-animal-nutrition","86329aee-7550-4bee-ab6c-78bce709bf1e",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Successful validation of industry-scale production",7,"Animal Feed, Feed Ingredients and Animal Nutrition","Technology Status","/trlquestions/animal-feed%2C-feed-ingredients-and-animal-nutrition","8650b7c1-ab5f-4c1c-a41f-7855048bae50",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Technology Licensing Agreement signed",9,"Fertilizer and Pesticide (including Organic and Bio-based Products)","Industry Adoption Status","/trlquestions/fertilizer-and-pesticide-(including-organic-and-bio-based-products)","8775b6a3-8a1f-4e48-ad7e-955e31334c70",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Standardized protocol/manual for industry-scale production/assembly of device/kit",7,"Agri-Aqua Device and Diagnostic Kits","Industry Adoption Status","/trlquestions/agri-aqua-device-and-diagnostic-kits","87f0ecac-7b57-415a-bc8c-8db9bd08d749",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Freedom to Operate (FTO) Report Prepared",5,"New Animal Breed (Aquatic and Terrestrial)","Market and Commercialization Status","/trlquestions/new-animal-breed-(aquatic-and-terrestrial)","89f2c656-c379-4884-9d9f-cf2ef74f01da",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Proof of Potential Economic Viability",3,"Natural Resource & Derived Materials","Market and Commercialization Status","/trlquestions/natural-resource-%26-derived-materials","8a197357-d1d3-4e1c-8e05-7ff2c382dc63",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Germplasm Collected",2,"New Plant Variety (Gene-Edited and GM)","Technology Status","/trlquestions/new-plant-variety-(gene-edited-and-gm)","8a5906e5-99b9-46a8-b7b1-47cd93916b70",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Device/kit tested under pilot-scale or semi-field conditions",5,"Agri-Aqua Device and Diagnostic Kits","Market and Commercialization Status","/trlquestions/agri-aqua-device-and-diagnostic-kits","8af1e583-e0c8-4d2e-8c61-8c130031c59f",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Seed/plant materials production protocol standardized for commercial adoption",7,"New Plant Variety (Conventional)","Technology Status","/trlquestions/new-plant-variety-(conventional)","8b225b37-2d4a-41a8-804c-42fb5e7b2666",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Initial Experiments Conducted in Laboratory",2,"Animal Biotechnology","Technology Status","/trlquestions/animal-biotechnology","8b4c8adb-06d3-4e8d-b4c8-d24876b46e6c",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Technology fully commercialized/Machine or facility commercially available to target users",9,"Agri-Aqua Machinery and Facility","Market and Commercialization Status","/trlquestions/agri-aqua-machinery-and-facility","8b63d96b-77ea-4d20-b4c5-4a43a9e94225",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Allergen profiling/screening conducted",4,"Food, Food Ingredients and Beverages","Technology Status","/trlquestions/food%2C-food-ingredients-and-beverages","8b74be61-d6ac-45a9-a587-cd7e7c990a35",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Initial assessment on the potential user",2,"Fertilizer and Pesticide (including Organic and Bio-based Products)","Market and Commercialization Status","/trlquestions/fertilizer-and-pesticide-(including-organic-and-bio-based-products)","8b9b1991-030e-4863-b44a-c8dd319d6eec",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Material concept identified from AANR resource",1,"Natural Resource & Derived Materials","Technology Status","/trlquestions/natural-resource-%26-derived-materials","8c180e31-5235-4bc9-b650-f8bbf2dfda3d",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Institutional Biosafety Committee (IBC) Approval Initiated",3,"New Plant Variety (Gene-Edited and GM)","Technology Status","/trlquestions/new-plant-variety-(gene-edited-and-gm)","8d617057-9406-4667-b371-091e4fa9f321",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Successful industry validation and replication of device/kit",7,"Agri-Aqua Device and Diagnostic Kits","Technology Status","/trlquestions/agri-aqua-device-and-diagnostic-kits","8d69cc8f-f217-4006-891d-d1d182a1b6f4",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"First replication achieved",7,"Agri-Aqua Machinery and Facility","Technology Status","/trlquestions/agri-aqua-machinery-and-facility","8fbb3dd4-f18b-4fb3-a09c-f8c6c115a84c",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Manual of operation established",5,"Agri-Aqua Machinery and Facility","Technology Status","/trlquestions/agri-aqua-machinery-and-facility","90a11772-1b10-4fad-9231-95b40c78ffd0",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Accomplished Initial Business Model Canvas (BMC)",4,"Agri-Aqua Machinery and Facility","Market and Commercialization Status","/trlquestions/agri-aqua-machinery-and-facility","90d8aba2-f4dc-4ac2-9c27-b4587f265da3",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Potential end-users and target markets identified",1,"New Plant Variety (Conventional)","Market and Commercialization Status","/trlquestions/new-plant-variety-(conventional)","92463a51-daa6-4725-8391-6125072cc664",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"First industry-scale production completed",6,"Animal Feed, Feed Ingredients and Animal Nutrition","Technology Status","/trlquestions/animal-feed%2C-feed-ingredients-and-animal-nutrition","92630597-7de4-4e38-b4bc-07c7f819fecf",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Repeatable laboratory-scale production achieved",4,"Natural Resource & Derived Materials","Technology Status","/trlquestions/natural-resource-%26-derived-materials","92d6aecc-fc73-4b75-a4fb-d073f2673c6c",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"DNA Sequence Identification/Profiling Conducted",2,"Animal Biotechnology","Technology Status","/trlquestions/animal-biotechnology","938e4b6b-75ed-4cbd-ac31-1de0f319df44",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"AMTEC Certification Secured",8,"Agri-Aqua Machinery and Facility","Regulatory Compliance Status","/trlquestions/agri-aqua-machinery-and-facility","94489df4-b240-47a9-bf09-60abed990e0c",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Proximate analysis conducted to assess chemical properties",3,"Food, Food Ingredients and Beverages","Technology Status","/trlquestions/food%2C-food-ingredients-and-beverages","94ca8138-47bd-4e26-a6bb-c590dffae0a4",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Agreements with industry parters for product testing secured",6,"Fertilizer and Pesticide (including Organic and Bio-based Products)","Industry Adoption Status","/trlquestions/fertilizer-and-pesticide-(including-organic-and-bio-based-products)","9549aa1e-bc7e-4fe4-8690-15ac0c141b7c",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Breeding Events Documented",3,"New Animal Breed (Aquatic and Terrestrial)","Technology Status","/trlquestions/new-animal-breed-(aquatic-and-terrestrial)","96f18d48-0efe-46f6-9991-2694ca42fadf",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Technology Licensing Terms Negotiated",8,"Food, Food Ingredients and Beverages","Industry Adoption Status","/trlquestions/food%2C-food-ingredients-and-beverages","97482df8-7678-4db7-abdd-e77b0fc5d136",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Freedom to Operate (FTO) Report Prepared",4,"ICT (Apps and System involving IoT)","Market and Commercialization Status","/trlquestions/ict-(apps-and-system-involving-iot)","9a636f70-9bfd-4775-b4ef-db79a8a947f9",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Processing of Requirements for Food and Drug Administration (FDA) Approval/Certification",7,"Food, Food Ingredients and Beverages","Regulatory Compliance Status","/trlquestions/food%2C-food-ingredients-and-beverages","9ba1656f-6a09-4d34-bc4d-ce19e80fd5a4",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Preliminary Phenotyping under Greenhouse Conducted",4,"New Plant Variety (Gene-Edited and GM)","Technology Status","/trlquestions/new-plant-variety-(gene-edited-and-gm)","9be42447-4b40-49bf-a713-ded5558c6fa4",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Technology Licensing Agreement signed",9,"Animal Feed, Feed Ingredients and Animal Nutrition","Industry Adoption Status","/trlquestions/animal-feed%2C-feed-ingredients-and-animal-nutrition","9bfd4fda-9e10-43f2-897a-01f618976919",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Data collected for growth, survivability, product quality, and adaptability",5,"New Animal Breed (Aquatic and Terrestrial)","Technology Status","/trlquestions/new-animal-breed-(aquatic-and-terrestrial)","9d4ea1af-dd19-49c1-95e6-48009798a580",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Technology Licensing Terms Negotiated",8,"Fertilizer and Pesticide (including Organic and Bio-based Products)","Industry Adoption Status","/trlquestions/fertilizer-and-pesticide-(including-organic-and-bio-based-products)","9e2137f6-9926-46b8-91b2-9ad0f83376b7",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Working prototype created",3,"Agri-Aqua Machinery and Facility","Technology Status","/trlquestions/agri-aqua-machinery-and-facility","9eb28d4c-f990-47ba-bc20-1334b9737f07",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Freedom to Operate (FTO) Report Prepared",5,"New Plant Variety (Conventional)","Market and Commercialization Status","/trlquestions/new-plant-variety-(conventional)","9efa12f7-d4dd-416c-a5a8-9b9839069b84",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Market Research conducted",4,"Agri-Aqua Machinery and Facility","Market and Commercialization Status","/trlquestions/agri-aqua-machinery-and-facility","a211493f-f81b-4c15-b1af-6fd0fe3d94c9",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Edited/Modified Lines Evaluated in Greenhouse or Actual Field Plots",5,"New Plant Variety (Gene-Edited and GM)","Technology Status","/trlquestions/new-plant-variety-(gene-edited-and-gm)","a2b1756b-21e0-4f6e-af54-90a8923ccaf5",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Technology Licensing Terms Negotiated",8,"Animal Feed, Feed Ingredients and Animal Nutrition","Industry Adoption Status","/trlquestions/animal-feed%2C-feed-ingredients-and-animal-nutrition","a3493178-5319-493e-8520-dfca27a29343",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Meetings with potential industry partners",5,"Animal Feed, Feed Ingredients and Animal Nutrition","Industry Adoption Status","/trlquestions/animal-feed%2C-feed-ingredients-and-animal-nutrition","a3b4e24d-fa05-4fdd-b55f-32fc330852df",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"FPA/BAFS Registered",8,"Fertilizer and Pesticide (including Organic and Bio-based Products)","Regulatory Compliance Status","/trlquestions/fertilizer-and-pesticide-(including-organic-and-bio-based-products)","a428902e-3472-4eae-8ce7-966ff0771c4a",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Positive proximate analysis confirmed",4,"Food, Food Ingredients and Beverages","Technology Status","/trlquestions/food%2C-food-ingredients-and-beverages","a4663705-de30-469f-8672-c83481e38273",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Submitted to National Seed Industry Council (NSIC) or Department of Agriculture-Bureau of Plant Industry (DA-BPI) for variety testing",7,"New Plant Variety (Conventional)","Regulatory Compliance Status","/trlquestions/new-plant-variety-(conventional)","a535f966-2068-476b-9241-8e73cd6e96d7",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Market Research conducted",5,"New Plant Variety (Gene-Edited and GM)","Market and Commercialization Status","/trlquestions/new-plant-variety-(gene-edited-and-gm)","a5d238ac-b8d2-4da0-af20-0df84a6b1ec8",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Accomplished Initial Business Model Canvas (BMC)",5,"New Plant Variety (Gene-Edited and GM)","Market and Commercialization Status","/trlquestions/new-plant-variety-(gene-edited-and-gm)","a61d0fdb-837a-4940-aeb1-0b07a54f45b7",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Proof of Potential Economic Viability",3,"ICT (Apps and System involving IoT)","Market and Commercialization Status","/trlquestions/ict-(apps-and-system-involving-iot)","a631dd55-1ee6-4e46-a25a-fe2b7da0a7ee",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Technology fully commercialized/Product commercially available to target users",9,"Fertilizer and Pesticide (including Organic and Bio-based Products)","Market and Commercialization Status","/trlquestions/fertilizer-and-pesticide-(including-organic-and-bio-based-products)","a6333d9b-496b-467d-9885-0bcd7af9d9d9",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Scaled-up production process validated",8,"Natural Resource & Derived Materials","Technology Status","/trlquestions/natural-resource-%26-derived-materials","a63f1ba3-1179-4b02-94d2-ee0067563eec",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Proof of Potential Economic Viability",3,"Fertilizer and Pesticide (including Organic and Bio-based Products)","Market and Commercialization Status","/trlquestions/fertilizer-and-pesticide-(including-organic-and-bio-based-products)","a686785a-311e-441b-9de7-1f0d8165f3b6",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Stable and consistent seed production at industry scale achieved",8,"New Plant Variety (Gene-Edited and GM)","Technology Status","/trlquestions/new-plant-variety-(gene-edited-and-gm)","a6d54b1e-ddb5-4f73-a94c-7415e81e4f80",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Technology Licensing Agreement signed",9,"Food, Food Ingredients and Beverages","Industry Adoption Status","/trlquestions/food%2C-food-ingredients-and-beverages","a701b50e-b804-4099-a6d9-c6a647daf6f9",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
